participantId,sessionStart,sessionEnd,timestamp,type,targetTag,targetId,targetClass,x,y,key
User_1781533036831_176,1781533036831,1781533175293,1781533155405,click,INPUT,input-telefone,form-control,797,406,
User_1781533036831_176,1781533036831,1781533175293,1781533155493,keydown,INPUT,input-telefone,form-control,,,Control
User_1781533036831_176,1781533036831,1781533175293,1781533155849,keydown,INPUT,input-telefone,form-control,,,v
User_1781533036831_176,1781533036831,1781533175293,1781533157005,click,INPUT,input-email,form-control,1097,428,
User_1781533036831_176,1781533036831,1781533175293,1781533157418,keydown,INPUT,input-email,form-control,,,t
User_1781533036831_176,1781533036831,1781533175293,1781533157673,keydown,INPUT,input-email,form-control,,,s
User_1781533036831_176,1781533036831,1781533175293,1781533158467,keydown,INPUT,input-email,form-control,,,Backspace
User_1781533036831_176,1781533036831,1781533175293,1781533158637,keydown,INPUT,input-email,form-control,,,e
User_1781533036831_176,1781533036831,1781533175293,1781533158996,keydown,INPUT,input-email,form-control,,,s
User_1781533036831_176,1781533036831,1781533175293,1781533159140,keydown,INPUT,input-email,form-control,,,t
User_1781533036831_176,1781533036831,1781533175293,1781533159242,keydown,INPUT,input-email,form-control,,,e
User_1781533036831_176,1781533036831,1781533175293,1781533159745,keydown,INPUT,input-email,form-control,,,Shift
User_1781533036831_176,1781533036831,1781533175293,1781533159910,keydown,INPUT,input-email,form-control,,,@
User_1781533036831_176,1781533036831,1781533175293,1781533160813,keydown,INPUT,input-email,form-control,,,g
User_1781533036831_176,1781533036831,1781533175293,1781533161100,keydown,INPUT,input-email,form-control,,,m
User_1781533036831_176,1781533036831,1781533175293,1781533161225,keydown,INPUT,input-email,form-control,,,a
User_1781533036831_176,1781533036831,1781533175293,1781533161392,keydown,INPUT,input-email,form-control,,,i
User_1781533036831_176,1781533036831,1781533175293,1781533162089,keydown,INPUT,input-email,form-control,,,.
User_1781533036831_176,1781533036831,1781533175293,1781533162467,keydown,INPUT,input-email,form-control,,,c
User_1781533036831_176,1781533036831,1781533175293,1781533162670,keydown,INPUT,input-email,form-control,,,o
User_1781533036831_176,1781533036831,1781533175293,1781533162846,keydown,INPUT,input-email,form-control,,,m
User_1781533036831_176,1781533036831,1781533175293,1781533165898,click,INPUT,input-email,form-control,1101,418,
User_1781533036831_176,1781533036831,1781533175293,1781533166982,keydown,INPUT,input-email,form-control,,,ArrowRight
User_1781533036831_176,1781533036831,1781533175293,1781533167328,keydown,INPUT,input-email,form-control,,,l
User_1781533036831_176,1781533036831,1781533175293,1781533168887,click,BUTTON,btn-enviar-4,btn-accent,1374,510,
User_1781533036831_176,1781533036831,1781533175293,1781533170954,click,BUTTON,btn-confirmar-final,btn-accent,1154,709,
